#,Priority,Paper,Venue,arXiv / URL,BibTeX,Location in current draft ,Main message (one line),Why it matters here 
11,Medium,Loss Functions and Operators Generated by f-Divergences,ICML 2025,arXiv:2501.18537,"@inproceedings{roulet2025fdivergence,
  title={Loss Functions and Operators Generated by $f$-Divergences},
  author={Roulet, Vincent and Liu, Tianlin and Vieillard, Nino and Sander, Michael E. and Blondel, Mathieu},
  booktitle={International Conference on Machine Learning (ICML)},
  year={2025}
}","Intro lines 039-043; Related work para 2 lines 689-695 (Legendre-Fenchel dual, closed-form soft policy).",f-divergences generate convex losses and 'f-softargmax' operators that generalize the logistic loss and softmax through Fenchel duality.,Cleanest modern reference for the Fenchel-dual soft-policy machinery in Sec. 2 / Lemma 1.
12,Low,"Is Best-of-N the Best of Them? Coverage, Scaling, and Optimality in Inference-Time Alignment",ICML 2025,arXiv:2503.21878,"@inproceedings{huang2025bestofn,
  title={Is Best-of-{N} the Best of Them? Coverage, Scaling, and Optimality in Inference-Time Alignment},
  author={Huang, Audrey and Block, Adam and Liu, Qinghua and Jiang, Nan and Krishnamurthy, Akshay and Foster, Dylan J.},
  booktitle={International Conference on Machine Learning (ICML)},
  year={2025}
}","Related work para 3 lines 697-706 (optional, with chi^2PO).",Coverage (chi^2-type) governs inference-time alignment; pessimistic rejection sampling avoids the reward hacking that Best-of-N suffers as N grows.,Optional companion to chi^2PO; cite only if you discuss coverage/pessimism.
13,Medium,SDPO: Segment-Level Direct Preference Optimization for Social Agents,ACL 2025 (Long),https://aclanthology.org/2025.acl-long.607/,"@inproceedings{kong-etal-2025-sdpo,
  title = ""{SDPO}: Segment-Level Direct Preference Optimization for Social Agents"",
  author = ""Kong, Aobo and Ma, Wentao and Zhao, Shiwan and Li, Yongbin and Wu, Yuchuan and Wang, Ke and Liu, Xiaoqian and Li, Qicheng and Qin, Yong and Huang, Fei"",
  booktitle = ""Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"",
  month = jul, year = ""2025"", address = ""Vienna, Austria"", publisher = ""Association for Computational Linguistics"",
  pages = ""12409--12423"", doi = ""10.18653/v1/2025.acl-long.607""
}",Conclusion lines 557-563 (multi-turn / segment-level future direction); Related work para 3 (optional).,Segment-level DPO that selects key segments inside multi-turn interactions to reduce training noise; outperforms turn-level DPO on SOTOPIA.,Relevant mainly to the sentence/segment-level follow-up; cite when the multi-step direction is mentioned.
17,Medium,Future-KL Regularized GRPO: Process-Level Credit Assignment from f-Divergence Regularization (FRPO),"arXiv (Jan 2026, rev. May 2026)",arXiv:2601.10201,"@article{yao2026frpo,
  title={Future-{KL} Regularized {GRPO}: Process-Level Credit Assignment from $f$-Divergence Regularization},
  author={Yao, Jiarui and Wang, Ruida and Bai, Hao and Zhang, Tong},
  journal={arXiv preprint arXiv:2601.10201},
  year={2026}
}",Related work para 2 lines 689-695 (f-divergence regularization inside an MDP); Intro lines 039-043.,The on-policy gradient of a token-wise f-divergence-regularized objective contains a 'future-KL' return-to-go term that local per-token KL losses omit; adding it improves reasoning RL.,"Their future-regularization term is the on-policy counterpart of our next-state inner term; worth one sentence of contrast (they sample, we cannot)."
18,Medium,On a few pitfalls in KL divergence gradient estimation for RL,arXiv (June 2025),arXiv:2506.09477,"@article{tang2025pitfalls,
  title={On a few pitfalls in {KL} divergence gradient estimation for {RL}},
  author={Tang, Yunhao and Munos, R{\'e}mi},
  journal={arXiv preprint arXiv:2506.09477},
  year={2025}
}",Sec. 3.3 lines 343-352.,"Differentiating through a KL estimate as a loss gives the wrong gradient, and ignoring the sequential structure gives only a partial gradient; shows the correct implementation.","Short, widely read; pairs with Liu et al. (ICLR 2026) and Shah et al."
19,Medium,A Comedy of Estimators: On KL Regularization in RL Training of LLMs,COLM 2026,arXiv:2512.21852,"@article{shah2025comedy,
  title={A Comedy of Estimators: On {KL} Regularization in {RL} Training of {LLMs}},
  author={Shah, Vedant and Obando-Ceron, Johan and Jain, Vineet and Bartoldson, Brian and Kailkhura, Bhavya and Mittal, Sarthak and Berseth, Glen and Castro, Pablo Samuel and Bengio, Yoshua and Whitammer, Esmeralda S. and Jain, Moksh and Venkatraman, Siddarth and Courville, Aaron},
  journal={arXiv preprint arXiv:2512.21852},
  year={2025}
}",Sec. 3.3 lines 343-352; Sec. 4 lines 475-483.,KL-estimator configurations with biased gradients cause training instabilities; unbiased configurations generalize better in- and out-of-domain.,"Empirical backing for 'estimator choice, not divergence choice, is what practitioners actually vary'."
20,Medium,Provably avoiding over-optimization in Direct Preference Optimization without knowing the data distribution (PEPO),"arXiv (Feb 2026, rev. May 2026)",arXiv:2602.06239,"@article{barla2026pepo,
  title={Provably avoiding over-optimization in Direct Preference Optimization without knowing the data distribution},
  author={Barla, Adam and Nevali, Emanuele and Viano, Luca and Cevher, Volkan},
  journal={arXiv preprint arXiv:2602.06239},
  year={2026}
}",Related work para 3 lines 697-706 (with chi^2PO).,Pessimism via an ensemble of DPO policies on disjoint data subsets; single-policy concentrability without knowing the data distribution or fitting a reward model.,Shows the 2026 pessimism line stays bandit-level; supports the 'collision' framing for the multi-step follow-up.
21,Medium,Direct Preference Optimization with Rating Information: Practical Algorithms and Provable Gains (RDPO),arXiv (Jan 2026),arXiv:2602.00603,"@article{viano2026rdpo,
  title={Direct Preference Optimization with Rating Information: Practical Algorithms and Provable Gains},
  author={Viano, Luca and Zhou, Ruida and Sun, Yifan and Namazifar, Mahdi and Cevher, Volkan and Sabach, Shoham and Ghavamzadeh, Mohammad},
  journal={arXiv preprint arXiv:2602.00603},
  year={2026}
}",Related work para 3 lines 697-706 (optional).,Uses rating-gap information plus chi^2 regularization for faster statistical rates and single-policy concentrability.,Optional; but from well-known authors
24,High,TokenRatio: Principled Token-Level Preference Optimization via Ratio Matching (TBPO),ICML 2026,arXiv:2605.12288,"@article{nguyen2026tokenratio,
  title={{TokenRatio}: Principled Token-Level Preference Optimization via Ratio Matching},
  author={Nguyen, Truong and Nguyen, Tien-Phat and Van, Linh Ngo and Nguyen, Duy Minh Ho and Doan, Khoa and Le, Trung},
  journal={arXiv preprint arXiv:2605.12288},
  year={2026}
}",Intro lines 039-043 (Bregman); Related work para 2 lines 689-695.,Token-level Bregman density-ratio matching that generalizes the logistic/DPO loss while keeping training simple.,Bregman-at-token-level instance; cite only if the Bregman line is expanded.
25,Medium,Policy Mirror Descent for Regularized Reinforcement Learning: A Generalized Framework with Linear Convergence (GPMD),"SIAM J. Optimization 2026 
???",arXiv:2105.11066,"@article{zhan2026gpmd,
  title={Policy Mirror Descent for Regularized Reinforcement Learning: A Generalized Framework with Linear Convergence},
  author={Zhan, Wenhao and Cen, Shicong and Huang, Baihe and Chen, Yuxin and Lee, Jason D. and Chi, Yuejie},
  journal={SIAM Journal on Optimization},
  year={2026},
  note={doi:10.1137/21M1456789; verify volume/pages}
}",Related work para 2 lines 689-695 (after Tomar et al. 2022 mirror-descent policy optimization).,"Generalized policy mirror descent that picks the Bregman divergence to match the convex regularizer, with linear convergence for general regularizers.",
